,L
712,0.6359895885867882
713,0.7745976471948469
714,0.7899090025062022
715,0.6698357424329421
716,0.8326196252168249
717,0.7133522259494257
718,0.8825829951801948
719,0.7020701746673744
720,0.8366489292461289
721,0.6247075373047369
722,0.6867588193560191
723,0.5819969145941143
724,0.6134254860226857
725,0.7310811636783633
726,0.6980408706380704
727,0.8310079036051033
728,0.6980408706380704
729,0.8463192589164586
730,0.7705683431655429
731,0.5215573541545538
732,0.6521068047040045
733,0.5473448999420997
734,0.6239016764988762
735,0.6085903211875209
736,0.58763794023514
737,0.7480042406014403
738,0.6706416032388028
739,0.6077844603816601
740,0.5545976471948469
741,0.5537917863889862
742,0.6263192589164587
743,0.5658796984768982
744,0.508663581260781
745,0.6504950830922828
746,0.5763558889530888
747,0.5199456325428323
748,0.6464657790629788
749,0.5932789658761656
750,0.5247807973779971
751,0.566685559282759
752,0.6085903211875209
753,0.5699090025062022
754,0.5529859255831252
755,0.5537917863889862
756,0.5699090025062022
757,0.58763794023514
758,0.5892496618468616
759,0.5884438010410008
760,0.5578210904182902
761,0.5803851929823928
762,0.5948906874878871
763,0.5860262186234183
764,0.5779676105648103
765,0.5771617497589495
766,0.6021434347406344
767,0.5811910537882535
768,0.6182606508578506
769,0.5723265849237847
770,0.5755500281472278
771,0.58763794023514
772,0.5771617497589495
773,0.5900555226527223
774,0.5973082699054696
775,0.5924731050703048
776,0.5860262186234183
777,0.5900555226527223
778,0.5819969145941143
779,0.5819969145941143
780,0.5795793321765318
781,0.6021434347406344
782,0.6198723724695722
783,0.6053668779640776
784,0.570714863312063
785,0.5602386728358725
786,0.582802775399975
787,0.5610445336417335
788,0.5602386728358725
789,0.5900555226527223
790,0.5739383065355063
791,0.5618503944475942
792,0.5682972808944805
793,0.5811910537882535
794,0.5545976471948469
795,0.5610445336417335
796,0.5497624823596822
797,0.5610445336417335
798,0.5755500281472278
799,0.574744167341367
800,0.5634621160593157
801,0.5836086362058358
802,0.5634621160593157
803,0.5892496618468616
804,0.6005317131289128
805,0.5836086362058358
806,0.6214840940812939
807,0.6988467314439312
808,0.8801654127626125
809,0.786685559282759
810,0.6932057058029054
811,0.7270518596490593
812,0.5795793321765318
813,0.6319602845574842
814,0.7617038743010741
815,0.6392130318102315
816,0.7254401380373378
817,0.6367954493926492
818,0.7697624823596821
819,0.6271251197223194
820,0.7834621160593157
821,0.632766145363345
822,0.782656255253455
823,0.5650738376710375
824,0.645659918257118
825,0.802802775399975
826,0.7270518596490593
827,0.6956232882204879
828,0.653718526315726
829,0.6255133981105979
830,0.6778943504915501
831,0.7955500281472278
832,0.6464657790629788
833,0.7963558889530887
834,0.6440481966453963
835,0.799579332176532
836,0.6569419695391693
837,0.8124731050703048
838,0.7488101014073011
