V_SWEEP ,(i("/FWR/iout" ?result "dc") * -1) (A)
-21.60E-3,6.905E-9
-21.20E-3,6.762E-9
-20.80E-3,6.619E-9
-20.40E-3,6.476E-9
-20.00E-3,6.332E-9
-19.60E-3,6.188E-9
-19.20E-3,6.044E-9
-18.80E-3,5.900E-9
-18.40E-3,5.756E-9
-18.00E-3,5.611E-9
-17.60E-3,5.466E-9
-17.20E-3,5.321E-9
-16.80E-3,5.175E-9
-16.40E-3,5.030E-9
-16.00E-3,4.884E-9
-15.60E-3,4.738E-9
-15.20E-3,4.592E-9
-14.80E-3,4.445E-9
-14.40E-3,4.299E-9
-14.00E-3,4.152E-9
-13.60E-3,4.005E-9
-13.20E-3,3.858E-9
-12.80E-3,3.711E-9
-12.40E-3,3.563E-9
-12.00E-3,3.416E-9
-11.60E-3,3.268E-9
-11.20E-3,3.120E-9
-10.80E-3,2.972E-9
-10.40E-3,2.824E-9
-10.00E-3,2.676E-9
-9.600E-3,2.528E-9
-9.200E-3,2.380E-9
-8.800E-3,2.232E-9
-8.400E-3,2.084E-9
-8.000E-3,1.936E-9
-7.600E-3,1.788E-9
-7.200E-3,1.640E-9
-6.800E-3,1.493E-9
-6.400E-3,1.345E-9
-6.000E-3,1.198E-9
-5.600E-3,1.052E-9
-5.200E-3,906.4E-12
-4.800E-3,761.9E-12
-4.400E-3,619.0E-12
-4.000E-3,478.6E-12
-3.600E-3,342.2E-12
-3.200E-3,213.5E-12
-2.800E-3,102.0E-12
-2.400E-3,32.38E-12
-2.000E-3,18.39E-12
-1.600E-3,17.64E-12
-1.200E-3,17.80E-12
-800.0E-6,20.50E-12
-400.0E-6,46.58E-12
0.000,121.4E-12
400.0E-6,229.4E-12
800.0E-6,353.6E-12
1.200E-3,486.8E-12
1.600E-3,625.1E-12
2.000E-3,766.5E-12
2.400E-3,910.1E-12
2.800E-3,1.055E-9
3.200E-3,1.202E-9
3.600E-3,1.349E-9
4.000E-3,1.497E-9
4.400E-3,1.645E-9
4.800E-3,1.794E-9
5.200E-3,1.943E-9
5.600E-3,2.092E-9
6.000E-3,2.241E-9
6.400E-3,2.391E-9
6.800E-3,2.540E-9
7.200E-3,2.690E-9
7.600E-3,2.840E-9
8.000E-3,2.989E-9
8.400E-3,3.139E-9
8.800E-3,3.289E-9
9.200E-3,3.438E-9
9.600E-3,3.588E-9
10.00E-3,3.737E-9
10.40E-3,3.886E-9
10.80E-3,4.035E-9
11.20E-3,4.185E-9
11.60E-3,4.333E-9
12.00E-3,4.482E-9
12.40E-3,4.631E-9
12.80E-3,4.779E-9
13.20E-3,4.928E-9
13.60E-3,5.076E-9
14.00E-3,5.224E-9
14.40E-3,5.372E-9
14.80E-3,5.519E-9
15.20E-3,5.667E-9
15.60E-3,5.814E-9
16.00E-3,5.961E-9
16.40E-3,6.108E-9
16.80E-3,6.254E-9
17.20E-3,6.401E-9
17.60E-3,6.547E-9
18.00E-3,6.693E-9
18.40E-3,6.838E-9
18.80E-3,6.984E-9
19.20E-3,7.129E-9
19.60E-3,7.274E-9
20.00E-3,7.418E-9
20.40E-3,7.563E-9
20.80E-3,7.707E-9
21.20E-3,7.850E-9
21.60E-3,7.994E-9
22.00E-3,8.137E-9
22.40E-3,8.280E-9
22.80E-3,8.423E-9
23.20E-3,8.565E-9
23.60E-3,8.707E-9
24.00E-3,8.849E-9
24.40E-3,8.990E-9
24.80E-3,9.131E-9
25.20E-3,9.272E-9
25.60E-3,9.413E-9
26.00E-3,9.553E-9
26.40E-3,9.693E-9
26.80E-3,9.832E-9
27.20E-3,9.971E-9
27.60E-3,10.11E-9
28.00E-3,10.25E-9
28.40E-3,10.39E-9
28.80E-3,10.52E-9
29.20E-3,10.66E-9
29.60E-3,10.80E-9
30.00E-3,10.94E-9
30.40E-3,11.07E-9
30.80E-3,11.21E-9
31.20E-3,11.34E-9
31.60E-3,11.48E-9
32.00E-3,11.61E-9
32.40E-3,11.75E-9
32.80E-3,11.88E-9
33.20E-3,12.02E-9
33.60E-3,12.15E-9
34.00E-3,12.28E-9
34.40E-3,12.42E-9
34.80E-3,12.55E-9
35.20E-3,12.68E-9
35.60E-3,12.81E-9
36.00E-3,12.94E-9
36.40E-3,13.07E-9
36.80E-3,13.20E-9
37.20E-3,13.33E-9
37.60E-3,13.46E-9
38.00E-3,13.59E-9
38.40E-3,13.72E-9
38.80E-3,13.85E-9
39.20E-3,13.97E-9
39.60E-3,14.10E-9
40.00E-3,14.23E-9
40.40E-3,14.35E-9
40.80E-3,14.48E-9
41.20E-3,14.61E-9
41.60E-3,14.73E-9
42.00E-3,14.85E-9
42.40E-3,14.98E-9
42.80E-3,15.10E-9
43.20E-3,15.23E-9
43.60E-3,15.35E-9
44.00E-3,15.47E-9
44.40E-3,15.59E-9
44.80E-3,15.71E-9
45.20E-3,15.84E-9
45.60E-3,15.96E-9
46.00E-3,16.08E-9
46.40E-3,16.20E-9
46.80E-3,16.31E-9
47.20E-3,16.43E-9
47.60E-3,16.55E-9
48.00E-3,16.67E-9
48.40E-3,16.79E-9
48.80E-3,16.90E-9
49.20E-3,17.02E-9
49.60E-3,17.13E-9
50.00E-3,17.25E-9
50.40E-3,17.37E-9
50.80E-3,17.48E-9
51.20E-3,17.59E-9
51.60E-3,17.71E-9
52.00E-3,17.82E-9
52.40E-3,17.93E-9
52.80E-3,18.04E-9
53.20E-3,18.16E-9
53.60E-3,18.27E-9
54.00E-3,18.38E-9
54.40E-3,18.49E-9
54.80E-3,18.60E-9
55.20E-3,18.71E-9
55.60E-3,18.81E-9
56.00E-3,18.92E-9
56.40E-3,19.03E-9
56.80E-3,19.14E-9
57.20E-3,19.24E-9
57.60E-3,19.35E-9
58.00E-3,19.46E-9
58.40E-3,19.56E-9
58.80E-3,19.67E-9
59.20E-3,19.77E-9
59.60E-3,19.87E-9
60.00E-3,19.98E-9
60.40E-3,20.08E-9
60.80E-3,20.18E-9
61.20E-3,20.28E-9
61.60E-3,20.38E-9
62.00E-3,20.48E-9
62.40E-3,20.58E-9
62.80E-3,20.68E-9
63.20E-3,20.78E-9
63.60E-3,20.88E-9
64.00E-3,20.98E-9
64.40E-3,21.08E-9
64.80E-3,21.18E-9
65.20E-3,21.27E-9
65.60E-3,21.37E-9
66.00E-3,21.46E-9
66.40E-3,21.56E-9
66.80E-3,21.65E-9
67.20E-3,21.75E-9
67.60E-3,21.84E-9
68.00E-3,21.94E-9
68.40E-3,22.03E-9
68.80E-3,22.12E-9
69.20E-3,22.21E-9
69.60E-3,22.30E-9
70.00E-3,22.39E-9
70.40E-3,22.48E-9
70.80E-3,22.57E-9
71.20E-3,22.66E-9
71.60E-3,22.75E-9
72.00E-3,22.84E-9
72.40E-3,22.93E-9
72.80E-3,23.02E-9
73.20E-3,23.10E-9
73.60E-3,23.19E-9
74.00E-3,23.28E-9
74.40E-3,23.36E-9
74.80E-3,23.45E-9
75.20E-3,23.53E-9
75.60E-3,23.61E-9
76.00E-3,23.70E-9
76.40E-3,23.78E-9
76.80E-3,23.86E-9
77.20E-3,23.95E-9
77.60E-3,24.03E-9
78.00E-3,24.11E-9
78.40E-3,24.19E-9
78.80E-3,24.27E-9
79.20E-3,24.35E-9
79.60E-3,24.43E-9
80.00E-3,24.51E-9
80.40E-3,24.59E-9
80.80E-3,24.66E-9
81.20E-3,24.74E-9
81.60E-3,24.82E-9
82.00E-3,24.89E-9
82.40E-3,24.97E-9
82.80E-3,25.05E-9
83.20E-3,25.12E-9
83.60E-3,25.20E-9
84.00E-3,25.27E-9
84.40E-3,25.34E-9
84.80E-3,25.42E-9
85.20E-3,25.49E-9
85.60E-3,25.56E-9
86.00E-3,25.63E-9
86.40E-3,25.70E-9
86.80E-3,25.78E-9
87.20E-3,25.85E-9
87.60E-3,25.92E-9
88.00E-3,25.99E-9
88.40E-3,26.05E-9
88.80E-3,26.12E-9
89.20E-3,26.19E-9
89.60E-3,26.26E-9
90.00E-3,26.33E-9
90.40E-3,26.39E-9
90.80E-3,26.46E-9
91.20E-3,26.53E-9
91.60E-3,26.59E-9
92.00E-3,26.66E-9
92.40E-3,26.72E-9
92.80E-3,26.79E-9
93.20E-3,26.85E-9
93.60E-3,26.91E-9
94.00E-3,26.98E-9
94.40E-3,27.04E-9
94.80E-3,27.10E-9
95.20E-3,27.16E-9
95.60E-3,27.23E-9
96.00E-3,27.29E-9
96.40E-3,27.35E-9
96.80E-3,27.41E-9
97.20E-3,27.47E-9
97.60E-3,27.53E-9
98.00E-3,27.59E-9
98.40E-3,27.65E-9
98.80E-3,27.70E-9
99.20E-3,27.76E-9
99.60E-3,27.82E-9
100.0E-3,27.88E-9
100.4E-3,27.93E-9
100.8E-3,27.99E-9
101.2E-3,28.04E-9
101.6E-3,28.10E-9
102.0E-3,28.15E-9
102.4E-3,28.21E-9
102.8E-3,28.26E-9
103.2E-3,28.32E-9
103.6E-3,28.37E-9
104.0E-3,28.42E-9
104.4E-3,28.48E-9
104.8E-3,28.53E-9
105.2E-3,28.58E-9
105.6E-3,28.63E-9
106.0E-3,28.68E-9
106.4E-3,28.74E-9
106.8E-3,28.79E-9
107.2E-3,28.84E-9
107.6E-3,28.89E-9
108.0E-3,28.94E-9
108.4E-3,28.99E-9
108.8E-3,29.03E-9
109.2E-3,29.08E-9
109.6E-3,29.13E-9
110.0E-3,29.18E-9
110.4E-3,29.23E-9
110.8E-3,29.27E-9
111.2E-3,29.32E-9
111.6E-3,29.37E-9
112.0E-3,29.41E-9
112.4E-3,29.46E-9
112.8E-3,29.50E-9
113.2E-3,29.55E-9
113.6E-3,29.59E-9
114.0E-3,29.64E-9
114.4E-3,29.68E-9
114.8E-3,29.72E-9
115.2E-3,29.77E-9
115.6E-3,29.81E-9
116.0E-3,29.85E-9
116.4E-3,29.90E-9
116.8E-3,29.94E-9
117.2E-3,29.98E-9
117.6E-3,30.02E-9
118.0E-3,30.06E-9
118.4E-3,30.10E-9
118.8E-3,30.14E-9
119.2E-3,30.18E-9
119.6E-3,30.22E-9
120.0E-3,30.26E-9
120.4E-3,30.30E-9
120.8E-3,30.34E-9
121.2E-3,30.38E-9
121.6E-3,30.42E-9
122.0E-3,30.46E-9
122.4E-3,30.49E-9
122.8E-3,30.53E-9
123.2E-3,30.57E-9
123.6E-3,30.61E-9
124.0E-3,30.64E-9
124.4E-3,30.68E-9
124.8E-3,30.72E-9
125.2E-3,30.75E-9
125.6E-3,30.79E-9
126.0E-3,30.82E-9
126.4E-3,30.86E-9
126.8E-3,30.89E-9
127.2E-3,30.93E-9
127.6E-3,30.96E-9
128.0E-3,30.99E-9
128.4E-3,31.03E-9
128.8E-3,31.06E-9
129.2E-3,31.09E-9
129.6E-3,31.13E-9
130.0E-3,31.16E-9
130.4E-3,31.19E-9
130.8E-3,31.22E-9
131.2E-3,31.26E-9
131.6E-3,31.29E-9
132.0E-3,31.32E-9
132.4E-3,31.35E-9
132.8E-3,31.38E-9
133.2E-3,31.41E-9
133.6E-3,31.44E-9
134.0E-3,31.47E-9
