V_SWEEP ,i("/GM/iout" ?result "dc") (A)
9.600E-3,3.022E-9
10.00E-3,3.150E-9
10.40E-3,3.278E-9
10.80E-3,3.406E-9
11.20E-3,3.534E-9
11.60E-3,3.662E-9
12.00E-3,3.790E-9
12.40E-3,3.918E-9
12.80E-3,4.046E-9
13.20E-3,4.173E-9
13.60E-3,4.301E-9
14.00E-3,4.429E-9
14.40E-3,4.556E-9
14.80E-3,4.684E-9
15.20E-3,4.811E-9
15.60E-3,4.938E-9
16.00E-3,5.065E-9
16.40E-3,5.192E-9
16.80E-3,5.319E-9
17.20E-3,5.445E-9
17.60E-3,5.572E-9
18.00E-3,5.698E-9
18.40E-3,5.824E-9
18.80E-3,5.950E-9
19.20E-3,6.076E-9
19.60E-3,6.202E-9
20.00E-3,6.327E-9
20.40E-3,6.453E-9
20.80E-3,6.578E-9
21.20E-3,6.703E-9
21.60E-3,6.827E-9
22.00E-3,6.952E-9
22.40E-3,7.076E-9
22.80E-3,7.200E-9
23.20E-3,7.324E-9
23.60E-3,7.448E-9
24.00E-3,7.571E-9
24.40E-3,7.694E-9
24.80E-3,7.817E-9
25.20E-3,7.940E-9
25.60E-3,8.062E-9
26.00E-3,8.185E-9
26.40E-3,8.307E-9
26.80E-3,8.428E-9
27.20E-3,8.550E-9
27.60E-3,8.671E-9
28.00E-3,8.792E-9
28.40E-3,8.912E-9
28.80E-3,9.033E-9
29.20E-3,9.153E-9
29.60E-3,9.273E-9
30.00E-3,9.392E-9
30.40E-3,9.511E-9
30.80E-3,9.630E-9
31.20E-3,9.749E-9
31.60E-3,9.867E-9
32.00E-3,9.985E-9
32.40E-3,10.10E-9
32.80E-3,10.22E-9
33.20E-3,10.34E-9
33.60E-3,10.45E-9
34.00E-3,10.57E-9
34.40E-3,10.69E-9
34.80E-3,10.80E-9
35.20E-3,10.92E-9
35.60E-3,11.03E-9
36.00E-3,11.15E-9
36.40E-3,11.26E-9
36.80E-3,11.38E-9
37.20E-3,11.49E-9
37.60E-3,11.60E-9
38.00E-3,11.72E-9
38.40E-3,11.83E-9
38.80E-3,11.94E-9
39.20E-3,12.05E-9
39.60E-3,12.17E-9
40.00E-3,12.28E-9
40.40E-3,12.39E-9
40.80E-3,12.50E-9
41.20E-3,12.61E-9
41.60E-3,12.72E-9
42.00E-3,12.83E-9
42.40E-3,12.94E-9
42.80E-3,13.05E-9
43.20E-3,13.16E-9
43.60E-3,13.26E-9
44.00E-3,13.37E-9
44.40E-3,13.48E-9
44.80E-3,13.58E-9
45.20E-3,13.69E-9
45.60E-3,13.80E-9
46.00E-3,13.90E-9
46.40E-3,14.01E-9
46.80E-3,14.11E-9
47.20E-3,14.22E-9
47.60E-3,14.32E-9
48.00E-3,14.43E-9
48.40E-3,14.53E-9
48.80E-3,14.63E-9
49.20E-3,14.73E-9
49.60E-3,14.84E-9
50.00E-3,14.94E-9
50.40E-3,15.04E-9
50.80E-3,15.14E-9
51.20E-3,15.24E-9
51.60E-3,15.34E-9
52.00E-3,15.44E-9
52.40E-3,15.54E-9
52.80E-3,15.64E-9
53.20E-3,15.74E-9
53.60E-3,15.84E-9
54.00E-3,15.93E-9
54.40E-3,16.03E-9
54.80E-3,16.13E-9
55.20E-3,16.22E-9
55.60E-3,16.32E-9
56.00E-3,16.41E-9
56.40E-3,16.51E-9
56.80E-3,16.60E-9
57.20E-3,16.70E-9
57.60E-3,16.79E-9
58.00E-3,16.89E-9
58.40E-3,16.98E-9
58.80E-3,17.07E-9
59.20E-3,17.16E-9
59.60E-3,17.26E-9
60.00E-3,17.35E-9
60.40E-3,17.44E-9
60.80E-3,17.53E-9
61.20E-3,17.62E-9
61.60E-3,17.71E-9
62.00E-3,17.80E-9
62.40E-3,17.89E-9
62.80E-3,17.97E-9
63.20E-3,18.06E-9
63.60E-3,18.15E-9
64.00E-3,18.24E-9
64.40E-3,18.32E-9
64.80E-3,18.41E-9
65.20E-3,18.49E-9
65.60E-3,18.58E-9
66.00E-3,18.66E-9
66.40E-3,18.75E-9
66.80E-3,18.83E-9
67.20E-3,18.92E-9
