vout_ac X,vout_ac Y,vout_ac X,vout_ac Y,vout_ac X,vout_ac Y,vout_ac X,vout_ac Y,vout_ac X,vout_ac Y,vout_ac X,vout_ac Y,vout_ac X,vout_ac Y,vout_ac X,vout_ac Y
249.7599999999999,-0.3717861100267367,249.7599999999999,2.618021725156559,489.76,2.516926554954227,969.7600000000001,2.386700182855742,969.7600000000001,-2.487380005609966,969.7600000000001,-8.567149762471848,969.7600000000001,-14.53673860033777,969.7600000000001,-19.85888739116043
269.74,-1.032047417907789,269.74,2.731731318353713,529.74,2.657901683939744,1049.74,2.53031794909795,1049.74,-1.796630461598506,1049.74,-7.868457227634695,1049.74,-13.84744481290518,1049.74,-19.18010013632309
289.72,-1.659098192667172,289.72,2.713537860605806,569.72,2.661747922515547,1129.72,2.536119371714662,1129.72,-1.168852931306862,1129.72,-7.220168388599459,1129.72,-13.20782119540679,1129.72,-18.54956482282282
309.7,-2.251990946078577,309.7,2.589801422909388,609.7,2.554926517757276,1209.7,2.430801969476613,1209.7,-0.599921031594248,1209.7,-6.615606202916528,1209.7,-12.61111779290615,1209.7,-17.96091866371376
329.68,-2.811891158771682,329.68,2.385857324926402,649.6800000000001,2.36331526844847,1289.68,2.240397280271818,1289.68,-0.08703946946022174,1289.68,-6.049430382447181,1289.68,-12.05186884062014,1289.68,-17.40896410033682
349.66,-3.340868722632303,349.66,2.12393781964551,689.6600000000001,2.109919336697724,1369.66,1.988004216382018,1369.66,0.3716871086560428,1369.66,-5.517320598200532,1369.66,-11.5255882124799,1369.66,-16.88940373005149
369.64,-3.841294584422291,369.64,1.822265340765372,729.6400000000001,1.813775182338148,1449.64,1.692713881219289,1449.64,0.7776089325803572,1449.64,-5.01574922129908,1449.64,-11.02854997492446,1449.64,-16.39864576480962
389.6200000000001,-4.315547113733033,389.6200000000001,1.495035999254153,769.6200000000001,1.489816114056997,1529.62,1.369491087141794,1529.62,1.131829089055042,1529.62,-4.54181474258365,1529.62,-10.557627076382,1529.62,-15.93365888018361
409.6000000000001,-4.765876790565882,409.6000000000001,1.152896487022965,809.6000000000001,1.149298781431563,1609.6,1.02961137317128,1609.6,1.435450568541496,1609.6,-4.093117267068537,1609.6,-10.11017065480231,1609.6,-15.49186227230562
429.5800000000001,-5.194351472841863,429.5800000000001,0.8036004904009008,849.5800000000002,0.8004532113201965,1689.58,0.6813172210588772,1689.58,1.689770552237748,1689.58,-3.667663766711155,1689.58,-9.683918298964498,1689.58,-15.07104122975961
449.5600000000001,-5.60284208961156,449.5600000000001,0.4526592042163386,889.5600000000002,0.4491486935050766,1769.56,0.3304872355252735,1769.56,1.896417364844367,1769.56,-3.26379474269436,1769.56,-9.276923322750456,1769.56,-14.66928147912764
